"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","PTS"
"Daniel Lynch IV","KC","SP","89.4","72","5","0","4.84","1.42","48","95","32","13","26","15","6","0","147"
"Roansy Contreras","PIT","SP,RP","88.4","79","4","0","4.51","1.34","44","85","33","12","42","11","5","0","148"
"Jared Jones","PIT","SP","87.6","77","5","0","4.72","1.41","46","87","36","12","19","16","6","0","151"
"Joe Ross","MIL","SP","85.7","76","5","0","4.49","1.33","43","85","29","13","32","12","5","0","151"
"Garrett Crochet","CWS","RP","84.7","95","5","2","3.93","1.35","37","72","42","10","54","7","5","0","177"
"Aaron Ashby","MIL","SP","84.2","93","5","0","3.88","1.36","36","75","40","9","38","12","5","0","176"
"Reynaldo Lopez","ATL","RP","83.9","93","5","1","3.90","1.25","36","74","31","11","48","8","4","0","172"
"Josh Winckowski","BOS","RP","83.8","74","4","1","4.24","1.37","39","85","29","10","61","4","4","0","139"
"Quinn Priester","PIT","SP","83.7","67","4","0","4.63","1.43","43","85","35","10","28","13","6","0","133"
"Bailey Falter","PIT","SP","82.8","64","4","0","4.49","1.31","41","87","22","13","47","9","5","0","128"
"Domingo German","","SP","81.4","79","5","0","4.34","1.24","39","76","25","13","17","14","5","1","166"
"Mason Black","SF","SP","80.2","77","4","0","4.25","1.33","38","76","30","10","34","12","5","0","148"
"Max Meyer","MIA","SP","80.1","73","4","0","4.37","1.37","39","79","31","10","16","16","5","0","147"
"Brandon Williamson","CIN","SP","79.2","69","4","0","4.99","1.46","44","81","34","13","25","13","5","0","132"
"Carlos Carrasco","CLE","SP","77.8","67","4","0","4.83","1.42","42","84","27","12","36","11","5","0","124"
"Madison Bumgarner","","SP","77.7","54","4","0","5.49","1.49","47","87","29","15","14","14","6","0","111"
"Drew Smyly","CHC","SP,RP","76.6","75","4","1","4.42","1.32","38","76","25","13","50","5","5","0","138"
"Tommy Henry","ARI","SP","76.4","60","4","0","4.81","1.45","41","79","32","11","25","11","4","0","123"
"Jackson Rutledge","WSH","SP","75.3","55","3","0","5.25","1.47","44","80","30","12","20","14","5","0","104"
"David Peterson","NYM","SP,RP","74.8","80","4","0","4.01","1.36","33","70","32","8","29","11","4","0","149"
"Noah Syndergaard","","SP","74.2","51","4","0","5.15","1.36","42","83","19","13","14","14","5","0","114"
"Zach Plesac","LAA","SP","73.1","52","4","0","5.01","1.40","41","80","23","13","27","11","5","0","107"
"Cody Bradford","TEX","SP,RP","72.1","62","4","0","4.57","1.28","37","74","19","12","39","8","5","0","116"
"Cooper Criswell","BOS","RP","71.7","55","3","0","4.87","1.40","39","81","20","10","29","8","4","0","102"
"Matt Strahm","PHI","SP,RP","69.2","80","4","2","3.65","1.13","28","58","20","9","65","0","4","0","145"
"Pedro Avila","SD","SP,RP","68.7","63","3","0","4.59","1.43","35","67","32","9","30","10","4","0","113"
"Tyler Rogers","SF","RP","68.0","51","3","2","3.99","1.29","30","69","19","7","65","0","4","0","106"
"Spencer Turnbull","PHI","SP","67.9","59","3","0","4.81","1.41","36","70","26","10","33","9","4","0","104"
"Emerson Hancock","SEA","SP","67.8","54","4","0","4.62","1.35","35","67","24","10","28","10","4","0","112"
"Hector Neris","CHC","RP","67.4","75","4","6","3.91","1.24","29","57","27","9","67","0","4","0","160"
"Brent Suter","CIN","RP","67.4","56","3","1","4.38","1.39","33","69","25","9","62","0","4","0","102"
"Tanner Scott","MIA","RP","67.2","89","4","27","3.22","1.21","24","52","29","5","68","0","3","0","307"
"Alexis Diaz","CIN","RP","67.1","82","4","31","3.94","1.26","29","52","33","8","66","0","4","0","316"
"Scott Barlow","CLE","RP","67.0","76","3","3","3.72","1.24","28","58","26","8","64","0","4","0","136"
"Emmanuel Clase","CLE","RP","66.9","67","4","34","3.03","1.11","23","58","16","5","66","0","3","0","331"
"Jake Bird","COL","RP","66.7","57","3","1","4.46","1.43","33","69","26","7","63","0","3","0","103"
"Nick Nastrini","CWS","SP","66.6","64","3","0","5.01","1.45","37","64","33","12","17","12","5","0","115"
"Kyle Finnegan","WSH","RP","66.4","65","3","21","4.11","1.32","30","62","25","9","66","0","4","0","231"
"Chris Stratton","KC","RP","66.0","61","3","0","4.32","1.35","32","65","24","8","62","0","3","0","104"
"Jose Alvarado","PHI","RP","65.9","89","3","22","3.18","1.24","23","51","31","6","66","0","3","0","269"
"Camilo Doval","SF","RP","65.8","80","4","34","3.35","1.23","24","53","28","5","66","0","3","0","339"
"Yennier Cano","BAL","RP","65.6","62","3","7","3.66","1.27","27","62","22","6","64","0","3","0","150"
