EV	PN EV	EV Book	Game	Prop	O/U	FD	DK	MGM	BV	PB	PN	Kambi	Bet365
-5.5	-	138 PB	rublev @ fils	set2_total	u 9.5	-179/+125	-	-	-	-195/138	-	-	-
-5.5	-	-250 DK	ponchet / siskova @ danilina / hruncakova	set2_ml	u 	'+188/-260	'+175/-250	-	-	-	-	-	-
-5.5	-	-250 FD	ponchet / siskova @ danilina / hruncakova	set1_ml	u 	'+182/-250	'+180/-250	195/-275	-	185/-260	-	-	-
-5.5	-5.5	-2500 MGM	nadal @ thompson	set_spread	o 1.5	-	-	-2500/775	-2500/+1000	-2500/775	-1335/966	-2000/1050	-
-5.5	-	-250 FD	nadal @ thompson	set2_total	o 8.5	-250/+155	-	-	-	-270/185	-	-	-
-5.5	-4.2	-325 PB	hijikata @ dimitrov	set1_total	o 8.5	-334/+200	-425/+265	-350/210	-	-325/215	-319/260	-	-
-5.5	-	-1200 DK	collignon @ fearnley	set1_ml	u 	'+630/-1400	'+550/-1200	-	-	-	-	-	-
-5.5	-	-2500 DK	collignon @ fearnley	ml	u 	'+920/-3500	'+850/-2500	-	-	-	-	-	-
-5.5	-3.4	135 DK	chidekh @ strombachs	set1_ml	u 	-178/+132	-185/+135	-	-	-	-161/125	-	-
-5.5	-	-275 MGM	agostini / cadenasso @ fuele / madarasz	ml	u 	'+210/-300	-	180/-275	'+195/-290	200/-300	-	-	-
