NAME	POS	ML	A/H	TEAM	OPP	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L5 % OVER	LAST 7 GAMES ➡️	OVER	UNDER
Connor Mccaffery	G	'+105	H	IOWA	AUB	ast	4.5	3.7	3.89 - 3.33	2.93 - 4.29	26%	40%	1,9,3,6,1,5,13,4,8,2	'+105	-140
Connor Vanover	F	'+225	A	ORU	DUKE	reb	7.5	7.2	7.17 - 7.75	7.4 - 7.11	52%	60%	10,11,6,4,9,9,9,14,2,8	'+105	-140
Connor Vanover	F	'+225	A	ORU	DUKE	pts	12.5	12.9	12.66 - 14.5	12.07 - 13.56	48%	80%	10,17,19,14,19,5,8,12,2,8	'+100	-135
Connor Vanover	F	'+225	A	ORU	DUKE	3ptm	1.5	1.4	1.17 - 2.75	1.67 - 1.11	45%	40%	0,1,1,2,2,0,1,2,0,1	'+120	-160
Courtney Ramey	G	-1050	H	ARIZ	PRIN	ast	3.5	3.6	3.52 - 3.83	4.27 - 3.2	52%	40%	1,6,1,3,4,4,5,6,5,5	'+100	-135
Courtney Ramey	G	-1050	H	ARIZ	PRIN	3ptm	2.5	2.7	2.56 - 3.17	2.73 - 2.65	48%	60%	1,3,4,0,3,4,2,3,8,2	'+115	-155
Courtney Ramey	G	-1050	H	ARIZ	PRIN	reb	4.5	3.8	3.8 - 4.0	3.91 - 3.8	39%	20%	7,3,0,4,2,5,5,7,6,5	-105	-125
Courtney Ramey	G	-1050	H	ARIZ	PRIN	pts	12.5	10.6	10.4 - 11.5	10.36 - 10.75	35%	40%	3,9,15,4,16,14,9,13,26,7	-120	-110
Dain Dainja	F	'+110	A	ILL	ARK	reb	4.5	5.5	5.65 - 5.33	5.36 - 5.67	59%	40%	7,2,4,1,5,4,5,4,7,9	-135	'+105
Dain Dainja	F	'+110	A	ILL	ARK	pts	8.5	9.7	10.35 - 8.58	8.64 - 10.5	56%	20%	13,7,8,0,3,12,11,9,15,17	-105	-125
Dajuan Harris Jr	G	-5000	H	KU	HOW	ast	5.5	6.2	6.41 - 5.57	6.27 - 6.22	59%	60%	4,6,8,7,5,6,8,9,9,3	-155	'+115
Dajuan Harris Jr	G	-5000	H	KU	HOW	3ptm	0.5	0.8	0.96 - 0.29	1.27 - 0.61	47%	40%	0,0,0,1,2,2,0,2,1,1	-145	'+110
Dajuan Harris Jr	G	-5000	H	KU	HOW	reb	2.5	2.4	2.52 - 2.14	2.82 - 2.26	44%	40%	1,2,4,5,0,1,5,1,5,3	-130	-105
Dajuan Harris Jr	G	-5000	H	KU	HOW	pts	10.5	8.7	10.26 - 2.86	7.45 - 9.35	41%	60%	6,11,13,5,16,17,6,14,5,16	-110	-120
Dalton Bolon	G	'+190	A	COFC	SDSU	ast	0.5	1.3	1.35 - 0.67	1.38 - 1.24	76%	100%	1,1,3,2,1,2,2,3,0,1	-140	'+105
