Player	Prop	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
	rec	33.0	-	-	-	-	-	-	33.0	-
	rec_yd	212.9	-	-	-	-	-	-	212.9	-
	rec_td	0.7	-	-	-	-	-	-	0.7	-

Jerome Ford
126.08 FPTS	rush_att	168.7	-	-	-	-	-	-	168.7	-
10.02 ADP	rush_yd	663.0	-	-	-	-	-	-	663.0	-
	rush_td	4.0	-	-	-	-	-	-	4.0	-
	rec	34.2	-	-	-	-	-	-	34.2	-
	rec_yd	243.8	-	-	-	-	-	-	243.8	-
	rec_td	1.9	-	-	-	-	-	-	1.9	-

Austin Ekeler
123.55 FPTS	rush_att	126.6	-	-	-	-	-	-	126.6	-
8.09 ADP	rush_yd	479.7	-	-	o435.5 -115/-115	-	-	-	523.9	-
	rush_td	4.2	-	-	-	-	-	-	4.2	-
	rec	46.3	-	-	-	-	-	-	46.3	-
	rec_yd	383.8	-	-	o400.5 -115/-115	-	-	-	367.0	-
	rec_td	2.0	-	-	-	-	-	-	2.0	-

Tyjae Spears
123.36 FPTS	rush_att	141.6	-	-	-	-	-	-	141.6	-
9.04 ADP	rush_yd	585.6	-	-	o550.5 -115/-115	-	-	-	620.7	-
	rush_td	3.6	-	-	-	-	-	-	3.6	-
	rec	43.3	-	-	-	-	-	-	43.3	-
	rec_yd	336.0	-	-	-	-	-	-	336.0	-
	rec_td	1.6	-	-	-	-	-	-	1.6	-

Nick Chubb
120.09 FPTS	rush_att	149.7	-	-	-	-	-	-	149.7	-
8.08 ADP	rush_yd	726.7	-	-	-	-	-	-	726.7	-
	rush_td	5.0	-	-	-	-	-	-	5.0	-
	rec	17.5	-	-	-	-	-	-	17.5	-
	rec_yd	138.2	-	-	-	-	-	-	138.2	-
	rec_td	0.6	-	-	-	-	-	-	0.6	-

Ezekiel Elliott
116.5 FPTS	rush_att	170.2	-	-	-	-	-	-	170.2	-
10.01 ADP	rush_yd	563.2	o575.5 -105/-115	-	o475.5 -115/-115	o575.5 -110/-110	o525.5 -134/108	-	663.8	-
	rush_td	5.5	-	-	o5.5 100/-130	o5.5 +110/-140	o5.5 115/-143	-	5.7	-
	rec	29.2	-	-	-	-	-	-	29.2	-
	rec_yd	193.8	-	-	-	-	-	-	193.8	-
	rec_td	1.3	-	-	-	-	-	-	1.3	-

Jonathon Brooks
116.02 FPTS	rush_att	152.1	-	-	-	-	-	-	152.1	-
8.12 ADP	rush_yd	664.3	-	-	-	-	-	-	664.3	-
	rush_td	4.4	-	-	-	-	-	-	4.4	-
	rec	23.1	-	-	-	-	-	-	23.1	-
	rec_yd	177.9	-	-	-	-	-	-	177.9	-
	rec_td	0.9	-	-	-	-	-	-	0.9	-

Gus Edwards
115.06 FPTS	rush_att	183.9	-	-	-	-	-	-	183.9	-
10.05 ADP	rush_yd	677.4	-	-	o625.5 -115/-115	-	o625.5 105/-130	-	781.1	-
	rush_td	5.3	-	-	o4.5 -160/125	o4.5 -115/-105	-	-	7.0	-
	rec	15.0	-	-	-	-	-	-	15.0	-
	rec_yd	131.2	-	-	-	-	-	-	131.2	-
	rec_td	0.4	-	-	-	-	-	-	0.4	-

Chuba Hubbard
109.88 FPTS	rush_att	156.3	-	-	-	-	-	-	156.3	-
12.06 ADP	rush_yd	636.2	-	-	-	o650.5 -110/-110	-	-	622.0	-
	rush_td	4.0	-	-	-	-	-	-	4.0	-
	rec	27.7	-	-	-	-	-	-	27.7	-
	rec_yd	192.6	-	-	-	-	-	-	192.6	-
	rec_td	0.5	-	-	-	-	-	-	0.5	-

Jk Dobbins
107.08 FPTS	rush_att	133.6	-	-	-	-	-	-	133.6	-
11.09 ADP	rush_yd	570.4	-	-	o550.5 -125/-105	-	-	-	590.3	-
	rush_td	3.7	-	-	o3.5 -115/-115	-	-	-	3.9	-
	rec	24.9	-	-	-	-	-	-	24.9	-
	rec_yd	188.4	-	-	-	-	-	-	188.4	-
	rec_td	1.5	-	-	-	-	-	-	1.5	-

Ty Chandler
104.75 FPTS	rush_att	146.6	-	-	-	-	-	-	146.6	-
13.02 ADP	rush_yd	598.6	-	-	-	-	-	-	598.6	-
	rush_td	4.3	-	-	-	-	-	-	4.3	-
	rec	21.1	-	-	-	-	-	-	21.1	-
	rec_yd	154.9	-	-	-	-	-	-	154.9	-
	rec_td	0.6	-	-	-	-	-	-	0.6	-

Tyler Allgeier
101.63 FPTS	rush_att	134.3	-	-	-	-	-	-	134.3	-
14.03 ADP	rush_yd	549.2	-	-	-	-	-	-	549.2	-
	rush_td	3.8	-	-	-	-	-	-	3.8	-
	rec	21.1	-	-	-	-	-	-	21.1	-
	rec_yd	167.1	-	-	-	-	-	-	167.1	-
	rec_td	1.2	-	-	-	-	-	-	1.2	-

Blake Corum
101.48 FPTS	rush_att	138.3	-	-	-	-	-	-	138.3	-
10.11 ADP	rush_yd	544.5	-	-	-	o500.5 -110/-110	-	-	588.5	-
	rush_td	4.6	-	-	-	-	-	-	4.6	-
	rec	19.5	-	-	-	-	-	-	19.5	-
	rec_yd	152.3	-	-	-	-	-	-	152.3	-
	rec_td	0.7	-	-	-	-	-	-	0.7	-

Rico Dowdle
101.43 FPTS	rush_att	140.0	-	-	-	-	-	-	140.0	-
11.11 ADP	rush_yd	545.3	-	-	-	-	-	-	545.3	-
	rush_td	3.6	-	-	-	-	-	-	3.6	-
	rec	23.6	-	-	-	-	-	-	23.6	-
	rec_yd	181.0	-	-	-	-	-	-	181.0	-
	rec_td	1.2	-	-	-	-	-	-	1.2	-

Antonio Gibson
97.55 FPTS	rush_att	119.8	-	-	-	-	-	-	119.8	-
13.10 ADP	rush_yd	461.3	-	-	-	-	-	-	461.3	-
	rush_td	2.6	-	-	-	-	-	-	2.6	-
	rec	38.1	-	-	-	-	-	-	38.1	-
	rec_yd	286.2	-	-	-	-	-	-	286.2	-
	rec_td	1.2	-	-	-	-	-	-	1.2	-

Khalil Herbert
97.01 FPTS	rush_att	148.1	-	-	-	-	-	-	148.1	-
16.01 ADP	rush_yd	597.2	-	-	-	-	-	-	597.2	-
	rush_td	3.4	-	-	-	-	-	-	3.4	-
	rec	16.6	-	-	-	-	-	-	16.6	-
	rec_yd	114.9	-	-	-	-	-	-	114.9	-
	rec_td	0.9	-	-	-	-	-	-	0.9	-

Trey Benson
95.44 FPTS	rush_att	134.2	-	-	-	-	-	-	134.2	-
10.03 ADP	rush_yd	527.0	-	-	-	o475.5 -110/-110	-	-	578.5	-
	rush_td	3.9	-	-	-	-	-	-	3.9	-
	rec	19.1	-	-	-	-	-	-	19.1	-
	rec_yd	139.4	-	-	-	-	-	-	139.4	-
	rec_td	0.9	-	-	-	-	-	-	0.9	-

Jaleel Mclaughlin
94.75 FPTS	rush_att	102.6	-	-	-	-	-	-	102.6	-
13.05 ADP	rush_yd	498.4	-	-	-	-	-	-	498.4	-
	rush_td	2.7	-	-	-	-	-	-	2.7	-
	rec	32.8	-	-	-	-	-	-	32.8	-
	rec_yd	215.1	-	-	-	-	-	-	215.1	-
	rec_td	1.2	-	-	-	-	-	-	1.2	-

Zach Charbonnet
92.15 FPTS	rush_att	117.5	-	-	-	-	-	-	117.5	-
12.08 ADP	rush_yd	486.4	-	-	-	-	-	-	486.4	-
